23838.084880    0.06764	5120150408020213227715725898358338514301910043003520017 088303+0243010642a0651
23838.099590    0.07032	5120150408022324491107225894647958807301910068002790073 088288+0272910642a0560
23838.107460    0.09403	5120150408023444844959925918202966681101910023001846026 088279+0302910642a0539
23838.115180    0.03549	5120150408024551623006125912569033736401910032001903046 088273+0282910642a0606
23838.121910    0.03971	5120150408025533081016125891577940348001910033001514171 088280+0272910642a0324
23838.127020    0.08968	5120150408030254846945725878701380677201910035001570078 088279+0252910642a0452
23838.160730    0.06741	5120150408035127169996025904373563849301910047002945076 088277+0263010642a0313
23838.164950    0.05621	5120150408035731385785125904632947878001910040001356280 088276+0253010642a0280
23838.168930    0.11026	5120150408040315645322125893133758211201910024002205042 088278+0253010642a0300
23838.174310    0.14148	5120150408041100758837725936060712703101910013002010032 088271+0252910642a0309
23838.180160    0.05267	5120150408041925826074425935055699194401910011002248030 088272+0272910642a0390
23838.189930    0.10615	5120150408043329826901725922561982876301910035004101020 088272+0272910642a0532
23838.199960    0.05444	5120150408044756469043125930648910777301910071003018067 088272+0272910642a0647
23839.169210    0.06053	5120150409040340155292825647918056695301910067002896071 088278+0724310642a0708
23839.179410    0.07039	5120150409041821399051825650172088336301910148002910161 088278+0675210642a0681
23839.189830    0.06517	5120150409043321737453925653586911257301910227002842168 088284+0625610642a0780
23839.201530    0.04973	5120150409045011894777925658724783780301910124003141073 088294+0585810642a0670
23839.211830    0.05247	5120150409050501998636425664364592890301910249002949198 088304+0585910642a0690
23839.220910    0.03791	5120150409051806849401025667950103548001910057001465191 088313+0595810642a0649
23839.229720    0.03756	5120150409053047753434125674322685849001910054001426224 088328+0645610642a0620
23839.242450    0.04274	5120150409054907496762325684737147488001910153001526438 088335+0735510642a0739
23839.257130    0.03684	5120150409061015693992625700579680689301910081003214058 088355+0845310642a0642
23840.091060    0.07191	5120150410021107165139625422518229957301910110002593152 088208+0764410642a0644
23840.099780    0.03004	5120150410022340656910125410590546993001910079001436999 088204+0744510642a0660
23840.108990    0.08281	5120150410023657096560625387906939203201910062001828084 088191+0714610642a0608
23840.119750    0.02479	5120150410025226001784925415507559855401910061001624539 088190+0704710642a0710
23840.128950    0.11071	5120150410030541299423225413687189745101910030001958037 088188+0694810642a0627
23840.138540    0.06078	5120150410031929977382525383140710902301910215002888309 088180+0664810642a0664
23840.147390    0.03176	5120150410033214204682025375566014249001910124001651999 088179+0654910642a0674
