date_julian,date_julian_year,residual_m,sigma_m,elongation_rad,cos_elong_rad,station,reflector,residual_corrected_m
2457991.18956805,2017.64846457,-0.00823351712539,1.905,0.8506068702996847,0.6595270946152456,Grasse,5,-0.00823351712539
2457994.1947189,2017.65669786,0.0455118718593,1.741,1.446355042277541,0.1241203577561262,Grasse,5,0.0455118718593
2457994.2067785,2017.6567309,-0.013280838445,2.867,1.448677947356274,0.1218150825105642,Grasse,5,-0.013280838445
2457994.2148523,2017.65675302,0.0367114844768,2.192,1.4502329089345802,0.1202715543759394,Grasse,5,0.0367114844768
2457994.2236561,2017.65677714,0.00414469866441,2.236,1.4519282784450982,0.1185883194607352,Grasse,5,0.00414469866441
2457994.231781,2017.6567994,0.0147345366924,3.003,1.4534927395881123,0.1170347534338969,Grasse,5,0.0147345366924
2457994.24076,2017.656824,0.00385883478806,2.179,1.455221469194805,0.1153177299441987,Grasse,5,0.00385883478806
2457994.25063325,2017.65685105,0.0379056039302,2.147,1.4571221400288707,0.1134295319781642,Grasse,5,0.0379056039302
2457994.262368,2017.6568832,0.00704303412125,1.623,1.4593808526495575,0.11118510955155,Grasse,5,0.00704303412125
2457994.27126305,2017.65690757,0.00340357451127,2.643,1.461092754568199,0.1094836598255337,Grasse,5,0.00340357451127
2457994.2828518,2017.65693932,0.0162408652751,1.849,1.4633227869565646,0.1072667626674151,Grasse,5,0.0162408652751
2457994.2915388,2017.65696312,0.00354269175217,87.646,1.4649942214192229,0.1056048228589442,Grasse,5,0.00354269175217
2457994.3000433,2017.65698642,-8.03169758524e-05,87.641,1.466630366621815,0.1039776860670329,Grasse,5,-8.03169758524e-05
2457994.3102487,2017.65701438,0.00520136980698,87.655,1.4685935136044233,0.1020249809590593,Grasse,5,0.00520136980698
2457994.3202424,2017.65704176,0.00553265242265,87.676,1.470515698066881,0.1001126394653707,Grasse,5,0.00553265242265
2457994.32875055,2017.65706507,-0.0113951859029,1192.108,1.472151966982104,0.0984844576921561,Grasse,5,-0.0113951859029
2457994.3528442,2017.65713108,0.0275615754573,792.999,1.4767846874571613,0.0938732184257728,Grasse,5,0.0275615754573
2457994.3797009,2017.65720466,0.00302711157487,1896.999,1.4819471052374742,0.0887323690033294,Grasse,5,0.00302711157487
2457994.38883685,2017.65722969,-0.0254175362141,1383.999,1.4837028497424605,0.0869834141594462,Grasse,5,-0.0254175362141
2457994.396688,2017.6572512,-0.0410747227223,2.146,1.4852115306798126,0.0854803530630329,Grasse,5,-0.0410747227223
2457994.41267135,2017.65729499,0.000158936068276,2.561,1.4882824707071252,0.0824202548584044,Grasse,5,0.000158936068276
2458001.4861633,2017.67667442,-0.00734159322097,3.531,2.8670139953232634,-0.9625395262528672,Grasse,5,-0.00734159322097
2458001.4951496,2017.67669904,0.0290249886958,0.032,2.8688708852857703,-0.963041346276036,Grasse,5,0.0290249886958
2458001.54291715,2017.67682991,0.028396398112,3.46,2.8787480908204004,-0.9656547875664,Grasse,5,0.028396398112
2458001.5527028,2017.67685672,0.0269141498058,3.79,2.8807729315486683,-0.9661789188833187,Grasse,5,0.0269141498058
2458001.5623096,2017.67688304,-0.00619718404128,0.027,2.882761227802332,-0.9666897359352026,Grasse,5,-0.00619718404128
2458001.5711572,2017.67690728,0.0103816094844,0.033,2.884592800154815,-0.967156907135608,Grasse,5,0.0103816094844
2458001.5856185,2017.6769469,0.0064332786052,0.029,2.887587322475394,-0.9679137176200722,Grasse,5,0.0064332786052
2458001.59423615,2017.67697051,0.0104059281795,0.03,2.889372286478016,-0.9683607061648336,Grasse,5,0.0104059281795
2458001.6036057,2017.67699618,-0.00853678555801,0.055,2.8913134102334888,-0.9688432980232272,Grasse,5,-0.00853678555801
2458001.6113875,2017.6770175,0.000271588846901,2.163,2.8929259262577034,-0.9692414173727376,Grasse,5,0.000271588846901
2458003.62872425,2017.68254445,-0.0181406435521,3.907,3.3211073227801644,-0.9839304654823102,Grasse,5,-0.0181406435521
2458003.6382617,2017.68257058,-0.00188752980544,0.03,3.323178529938127,-0.9835585369559326,Grasse,5,-0.00188752980544
2458003.6478028,2017.68259672,-0.00694808335616,0.049,3.325250949849383,-0.9831821675827388,Grasse,5,-0.00694808335616
2458003.6574315,2017.6826231,-0.0117983517201,0.036,3.3273428229530655,-0.9827979830135644,Grasse,5,-0.0117983517201
2458003.6666149,2017.68264826,-0.0450353321583,1.971,3.3293383507296017,-0.982427484690326,Grasse,5,-0.0450353321583
2458003.6764772,2017.68267528,-0.0260126289876,1.935,3.3314818338417957,-0.9820251583823708,Grasse,5,-0.0260126289876
2458003.6852737,2017.68269938,-0.0101161894353,0.053,3.3333940520763696,-0.9816624318543165,Grasse,5,-0.0101161894353
2458003.6937636,2017.68272264,-0.0380534824879,0.082,3.335239957418912,-0.9813088791655672,Grasse,5,-0.0380534824879
2458003.71806165,2017.68278921,-0.00948736043288,3.115,3.3405247553161166,-0.9802781775991016,Grasse,5,-0.00948736043288
2458003.72675595,2017.68281303,-0.0292112526448,2.215,3.3424164121553006,-0.9799025897709288,Grasse,5,-0.0292112526448
2458003.74586735,2017.68286539,0.02988675265,3.214,3.3465757769923115,-0.9790644199010952,Grasse,5,0.02988675265
2458004.48702175,2017.68489595,-0.00236889691665,3.313,3.5091249586362827,-0.9332168625661212,Grasse,5,-0.00236889691665
